local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-12-31 21:00:00-03:00,0.10400000000000001,0.105,0.023,10.449
2019-12-31 22:00:00-03:00,0.0,0.0,0.0,9.195
2019-12-31 23:00:00-03:00,0.0,0.0,0.0,9.117
2020-01-01 00:00:00-03:00,0.0,0.0,0.0,8.849
2020-01-01 01:00:00-03:00,0.0,0.0,0.0,8.092
2020-01-01 02:00:00-03:00,0.0,0.0,0.0,7.161
2020-01-01 03:00:00-03:00,0.0,0.0,0.0,6.336
2020-01-01 04:00:00-03:00,0.0,0.0,0.0,5.982
2020-01-01 05:00:00-03:00,0.022,0.032,0.005,5.832
2020-01-01 06:00:00-03:00,0.269,0.25,0.051000000000000004,7.896
2020-01-01 07:00:00-03:00,0.431,0.388,0.1,10.3
2020-01-01 08:00:00-03:00,0.5730000000000001,0.534,0.137,12.631
2020-01-01 09:00:00-03:00,0.6950000000000001,0.684,0.161,14.556000000000001
2020-01-01 10:00:00-03:00,0.749,0.746,0.186,16.191
2020-01-01 11:00:00-03:00,0.747,0.721,0.217,17.589
2020-01-01 12:00:00-03:00,0.727,0.67,0.245,18.865
2020-01-01 13:00:00-03:00,0.751,0.735,0.225,20.156
2020-01-01 14:00:00-03:00,0.77,0.783,0.213,21.256
2020-01-01 15:00:00-03:00,0.632,0.516,0.273,21.623
2020-01-01 16:00:00-03:00,0.645,0.578,0.232,22.085
2020-01-01 17:00:00-03:00,0.626,0.586,0.195,22.131
2020-01-01 18:00:00-03:00,0.58,0.558,0.157,21.511
2020-01-01 19:00:00-03:00,0.493,0.47500000000000003,0.11800000000000001,20.166
2020-01-01 20:00:00-03:00,0.315,0.292,0.076,18.108
2020-01-01 21:00:00-03:00,0.069,0.068,0.024,15.246
2020-01-01 22:00:00-03:00,0.0,0.0,0.0,13.476
2020-01-01 23:00:00-03:00,0.0,0.0,0.0,13.33
2020-01-02 00:00:00-03:00,0.0,0.0,0.0,13.514
2020-01-02 01:00:00-03:00,0.0,0.0,0.0,13.525
2020-01-02 02:00:00-03:00,0.0,0.0,0.0,13.605
2020-01-02 03:00:00-03:00,0.0,0.0,0.0,13.651
2020-01-02 04:00:00-03:00,0.0,0.0,0.0,13.524000000000001
2020-01-02 05:00:00-03:00,0.0,0.002,0.002,13.239
2020-01-02 06:00:00-03:00,0.019,0.008,0.025,13.387
2020-01-02 07:00:00-03:00,0.113,0.046,0.093,14.344
2020-01-02 08:00:00-03:00,0.228,0.1,0.166,15.15
2020-01-02 09:00:00-03:00,0.186,0.039,0.18,15.097
2020-01-02 10:00:00-03:00,0.384,0.164,0.28200000000000003,15.845
2020-01-02 11:00:00-03:00,0.532,0.309,0.324,16.862
2020-01-02 12:00:00-03:00,0.536,0.269,0.37,17.363
2020-01-02 13:00:00-03:00,0.5750000000000001,0.257,0.436,17.713
2020-01-02 14:00:00-03:00,0.599,0.338,0.389,18.209
2020-01-02 15:00:00-03:00,0.589,0.381,0.334,18.522
2020-01-02 16:00:00-03:00,0.47500000000000003,0.255,0.309,18.296
2020-01-02 17:00:00-03:00,0.193,0.033,0.196,17.187
