local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2018-12-31 21:00:00-03:00,0.009000000000000001,0.007,0.012,5.355
2018-12-31 22:00:00-03:00,0.0,0.0,0.0,4.593
2018-12-31 23:00:00-03:00,0.0,0.0,0.0,3.956
2019-01-01 00:00:00-03:00,0.0,0.0,0.0,3.4130000000000003
2019-01-01 01:00:00-03:00,0.0,0.0,0.0,2.922
2019-01-01 02:00:00-03:00,0.0,0.0,0.0,2.593
2019-01-01 03:00:00-03:00,0.0,0.0,0.0,2.48
2019-01-01 04:00:00-03:00,0.0,0.0,0.0,2.481
2019-01-01 05:00:00-03:00,0.004,0.008,0.004,2.477
2019-01-01 06:00:00-03:00,0.114,0.083,0.051000000000000004,2.963
2019-01-01 07:00:00-03:00,0.258,0.169,0.115,4.07
2019-01-01 08:00:00-03:00,0.334,0.193,0.17500000000000002,5.312
2019-01-01 09:00:00-03:00,0.377,0.186,0.231,6.306
2019-01-01 10:00:00-03:00,0.402,0.167,0.28,7.071
2019-01-01 11:00:00-03:00,0.467,0.198,0.327,8.005
2019-01-01 12:00:00-03:00,0.448,0.14,0.365,8.599
2019-01-01 13:00:00-03:00,0.519,0.153,0.439,9.049
2019-01-01 14:00:00-03:00,0.445,0.11,0.393,9.277
2019-01-01 15:00:00-03:00,0.40700000000000003,0.12,0.339,9.501
2019-01-01 16:00:00-03:00,0.375,0.124,0.298,9.512
2019-01-01 17:00:00-03:00,0.35100000000000003,0.14,0.255,9.399000000000001
2019-01-01 18:00:00-03:00,0.28800000000000003,0.124,0.199,8.96
2019-01-01 19:00:00-03:00,0.165,0.062,0.128,8.149
2019-01-01 20:00:00-03:00,0.091,0.043000000000000003,0.069,7.238
2019-01-01 21:00:00-03:00,0.016,0.014,0.015,5.962
2019-01-01 22:00:00-03:00,0.0,0.0,0.0,4.731
2019-01-01 23:00:00-03:00,0.0,0.0,0.0,4.166
2019-01-02 00:00:00-03:00,0.0,0.0,0.0,3.6630000000000003
2019-01-02 01:00:00-03:00,0.0,0.0,0.0,3.075
2019-01-02 02:00:00-03:00,0.0,0.0,0.0,2.63
2019-01-02 03:00:00-03:00,0.0,0.0,0.0,2.3
2019-01-02 04:00:00-03:00,0.0,0.0,0.0,1.867
2019-01-02 05:00:00-03:00,0.003,0.007,0.003,1.6560000000000001
2019-01-02 06:00:00-03:00,0.07200000000000001,0.046,0.044,2.396
2019-01-02 07:00:00-03:00,0.277,0.189,0.115,3.846
2019-01-02 08:00:00-03:00,0.386,0.251,0.17500000000000002,5.477
2019-01-02 09:00:00-03:00,0.494,0.328,0.226,7.135
2019-01-02 10:00:00-03:00,0.497,0.28300000000000003,0.28,8.405
2019-01-02 11:00:00-03:00,0.366,0.10200000000000001,0.307,8.648
2019-01-02 12:00:00-03:00,0.369,0.077,0.336,8.883
2019-01-02 13:00:00-03:00,0.542,0.183,0.439,9.852
2019-01-02 14:00:00-03:00,0.59,0.291,0.395,10.782
2019-01-02 15:00:00-03:00,0.587,0.34900000000000003,0.336,11.516
2019-01-02 16:00:00-03:00,0.494,0.263,0.305,11.707
2019-01-02 17:00:00-03:00,0.355,0.147,0.255,11.261
2019-01-02 18:00:00-03:00,0.197,0.053,0.17200000000000001,10.145
2019-01-02 19:00:00-03:00,0.075,0.013000000000000001,0.082,8.611
2019-01-02 20:00:00-03:00,0.022,0.005,0.032,7.172
2019-01-02 21:00:00-03:00,0.001,0.001,0.006,5.982
2019-01-02 22:00:00-03:00,0.0,0.0,0.0,5.124
2019-01-02 23:00:00-03:00,0.0,0.0,0.0,4.482
