local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2017-12-31 21:00:00-03:00,0.019,0.015,0.019,7.579
2017-12-31 22:00:00-03:00,0.0,0.0,0.0,6.795
2017-12-31 23:00:00-03:00,0.0,0.0,0.0,6.334
2018-01-01 00:00:00-03:00,0.0,0.0,0.0,6.018
2018-01-01 01:00:00-03:00,0.0,0.0,0.0,5.748
2018-01-01 02:00:00-03:00,0.0,0.0,0.0,5.413
2018-01-01 03:00:00-03:00,0.0,0.0,0.0,5.195
2018-01-01 04:00:00-03:00,0.0,0.0,0.0,5.021
2018-01-01 05:00:00-03:00,0.006,0.011,0.005,4.89
2018-01-01 06:00:00-03:00,0.115,0.082,0.054,5.6530000000000005
2018-01-01 07:00:00-03:00,0.231,0.14300000000000002,0.116,6.531
2018-01-01 08:00:00-03:00,0.331,0.192,0.176,7.405
2018-01-01 09:00:00-03:00,0.41000000000000003,0.228,0.231,8.292
2018-01-01 10:00:00-03:00,0.465,0.247,0.279,9.167
2018-01-01 11:00:00-03:00,0.55,0.318,0.315,9.961
2018-01-01 12:00:00-03:00,0.5760000000000001,0.316,0.352,10.491
2018-01-01 13:00:00-03:00,0.607,0.291,0.418,10.822
2018-01-01 14:00:00-03:00,0.536,0.226,0.392,11.008
2018-01-01 15:00:00-03:00,0.421,0.14200000000000002,0.336,10.992
2018-01-01 16:00:00-03:00,0.314,0.081,0.275,10.807
2018-01-01 17:00:00-03:00,0.232,0.051000000000000004,0.213,10.496
2018-01-01 18:00:00-03:00,0.18,0.043000000000000003,0.165,10.032
2018-01-01 19:00:00-03:00,0.114,0.029,0.108,9.408
2018-01-01 20:00:00-03:00,0.057,0.019,0.057,8.73
2018-01-01 21:00:00-03:00,0.014,0.011,0.016,7.902
2018-01-01 22:00:00-03:00,0.0,0.0,0.0,7.058
2018-01-01 23:00:00-03:00,0.0,0.0,0.0,6.548
2018-01-02 00:00:00-03:00,0.0,0.0,0.0,6.161
2018-01-02 01:00:00-03:00,0.0,0.0,0.0,5.7780000000000005
2018-01-02 02:00:00-03:00,0.0,0.0,0.0,5.372
2018-01-02 03:00:00-03:00,0.0,0.0,0.0,4.965
2018-01-02 04:00:00-03:00,0.0,0.0,0.0,4.535
2018-01-02 05:00:00-03:00,0.022,0.03,0.006,4.235
2018-01-02 06:00:00-03:00,0.222,0.191,0.056,5.013
2018-01-02 07:00:00-03:00,0.40900000000000003,0.343,0.109,5.5969999999999995
2018-01-02 08:00:00-03:00,0.581,0.51,0.149,6.198
2018-01-02 09:00:00-03:00,0.615,0.509,0.196,7.028
2018-01-02 10:00:00-03:00,0.5670000000000001,0.393,0.254,7.882
2018-01-02 11:00:00-03:00,0.548,0.325,0.30000000000000004,8.512
2018-01-02 12:00:00-03:00,0.562,0.307,0.336,9.019
2018-01-02 13:00:00-03:00,0.617,0.328,0.388,9.413
2018-01-02 14:00:00-03:00,0.616,0.365,0.352,9.754
2018-01-02 15:00:00-03:00,0.598,0.384,0.31,10.029
2018-01-02 16:00:00-03:00,0.588,0.41000000000000003,0.272,10.263
2018-01-02 17:00:00-03:00,0.536,0.381,0.23500000000000001,10.342
2018-01-02 18:00:00-03:00,0.41000000000000003,0.268,0.195,10.217
2018-01-02 19:00:00-03:00,0.272,0.167,0.14100000000000001,9.922
2018-01-02 20:00:00-03:00,0.158,0.10300000000000001,0.081,9.461
2018-01-02 21:00:00-03:00,0.016,0.011,0.018000000000000002,8.608
2018-01-02 22:00:00-03:00,0.0,0.0,0.0,8.22
2018-01-02 23:00:00-03:00,0.0,0.0,0.0,7.802
2018-01-03 00:00:00-03:00,0.0,0.0,0.0,7.373
2018-01-03 01:00:00-03:00,0.0,0.0,0.0,7.126
2018-01-03 02:00:00-03:00,0.0,0.0,0.0,6.99
2018-01-03 03:00:00-03:00,0.0,0.0,0.0,6.807
2018-01-03 04:00:00-03:00,0.0,0.0,0.0,6.499
2018-01-03 05:00:00-03:00,0.0,0.001,0.002,6.177
2018-01-03 06:00:00-03:00,0.012,0.004,0.02,5.91
2018-01-03 07:00:00-03:00,0.038,0.005,0.049,5.897
2018-01-03 08:00:00-03:00,0.061,0.005,0.074,6.083
2018-01-03 09:00:00-03:00,0.076,0.005,0.091,6.333
2018-01-03 10:00:00-03:00,0.095,0.005,0.111,6.895
2018-01-03 11:00:00-03:00,0.131,0.007,0.148,8.064
2018-01-03 12:00:00-03:00,0.248,0.022,0.258,9.667
2018-01-03 13:00:00-03:00,0.498,0.122,0.45,11.145
2018-01-03 14:00:00-03:00,0.632,0.35000000000000003,0.397,12.144
2018-01-03 15:00:00-03:00,0.587,0.336,0.353,12.437
2018-01-03 16:00:00-03:00,0.441,0.185,0.32,12.208
2018-01-03 17:00:00-03:00,0.277,0.07100000000000001,0.244,11.614
2018-01-03 18:00:00-03:00,0.12,0.014,0.13,10.784
2018-01-03 19:00:00-03:00,0.043000000000000003,0.004,0.057,9.849
