local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2021-12-31 21:00:00-03:00,0.013000000000000001,0.01,0.015,6.69
2021-12-31 22:00:00-03:00,0.0,0.0,0.0,5.7940000000000005
2021-12-31 23:00:00-03:00,0.0,0.0,0.0,5.4
2022-01-01 00:00:00-03:00,0.0,0.0,0.0,5.031
2022-01-01 01:00:00-03:00,0.0,0.0,0.0,4.72
2022-01-01 02:00:00-03:00,0.0,0.0,0.0,4.662
2022-01-01 03:00:00-03:00,0.0,0.0,0.0,4.775
2022-01-01 04:00:00-03:00,0.0,0.0,0.0,4.896
2022-01-01 05:00:00-03:00,0.0,0.001,0.001,4.9510000000000005
2022-01-01 06:00:00-03:00,0.012,0.004,0.02,5.214
2022-01-01 07:00:00-03:00,0.045,0.007,0.054,6.05
2022-01-01 08:00:00-03:00,0.08600000000000001,0.011,0.096,7.525
2022-01-01 09:00:00-03:00,0.136,0.016,0.145,9.593
2022-01-01 10:00:00-03:00,0.196,0.024,0.202,11.59
2022-01-01 11:00:00-03:00,0.259,0.035,0.262,13.131
2022-01-01 12:00:00-03:00,0.255,0.024,0.27,13.349
2022-01-01 13:00:00-03:00,0.332,0.03,0.35000000000000003,13.205
2022-01-01 14:00:00-03:00,0.368,0.054,0.368,13.264
2022-01-01 15:00:00-03:00,0.448,0.153,0.364,13.598
2022-01-01 16:00:00-03:00,0.447,0.193,0.322,13.352
2022-01-01 17:00:00-03:00,0.383,0.167,0.271,12.593
2022-01-01 18:00:00-03:00,0.24,0.078,0.196,11.456
2022-01-01 19:00:00-03:00,0.145,0.045,0.126,10.169
2022-01-01 20:00:00-03:00,0.091,0.04,0.07200000000000001,8.702
2022-01-01 21:00:00-03:00,0.03,0.028,0.018000000000000002,7.181
2022-01-01 22:00:00-03:00,0.0,0.0,0.0,5.728
2022-01-01 23:00:00-03:00,0.0,0.0,0.0,4.72
2022-01-02 00:00:00-03:00,0.0,0.0,0.0,4.022
2022-01-02 01:00:00-03:00,0.0,0.0,0.0,3.52
2022-01-02 02:00:00-03:00,0.0,0.0,0.0,3.138
2022-01-02 03:00:00-03:00,0.0,0.0,0.0,2.8529999999999998
2022-01-02 04:00:00-03:00,0.0,0.0,0.0,2.632
2022-01-02 05:00:00-03:00,0.005,0.011,0.004,2.466
2022-01-02 06:00:00-03:00,0.083,0.057,0.045,2.886
2022-01-02 07:00:00-03:00,0.219,0.134,0.109,3.891
2022-01-02 08:00:00-03:00,0.37,0.23800000000000002,0.17,5.175
2022-01-02 09:00:00-03:00,0.378,0.194,0.224,6.259
2022-01-02 10:00:00-03:00,0.361,0.134,0.266,6.928
2022-01-02 11:00:00-03:00,0.397,0.134,0.309,7.492
2022-01-02 12:00:00-03:00,0.47200000000000003,0.17400000000000002,0.358,8.112
2022-01-02 13:00:00-03:00,0.577,0.242,0.421,8.89
2022-01-02 14:00:00-03:00,0.627,0.363,0.368,9.639
2022-01-02 15:00:00-03:00,0.597,0.369,0.324,9.817
2022-01-02 16:00:00-03:00,0.528,0.311,0.293,9.465
2022-01-02 17:00:00-03:00,0.481,0.296,0.249,9.009
2022-01-02 18:00:00-03:00,0.534,0.424,0.185,8.625
2022-01-02 19:00:00-03:00,0.434,0.34900000000000003,0.136,7.768
2022-01-02 20:00:00-03:00,0.166,0.111,0.079,6.566
2022-01-02 21:00:00-03:00,0.02,0.016,0.017,5.304
2022-01-02 22:00:00-03:00,0.0,0.0,0.0,4.422
2022-01-02 23:00:00-03:00,0.0,0.0,0.0,3.973
2022-01-03 00:00:00-03:00,0.0,0.0,0.0,3.659
2022-01-03 01:00:00-03:00,0.0,0.0,0.0,3.302
2022-01-03 02:00:00-03:00,0.0,0.0,0.0,2.831
2022-01-03 03:00:00-03:00,0.0,0.0,0.0,2.616
2022-01-03 04:00:00-03:00,0.0,0.0,0.0,2.255
2022-01-03 05:00:00-03:00,0.002,0.006,0.003,1.835
2022-01-03 06:00:00-03:00,0.115,0.083,0.052000000000000005,3.289
2022-01-03 07:00:00-03:00,0.20600000000000002,0.115,0.115,5.061
2022-01-03 08:00:00-03:00,0.17200000000000001,0.047,0.149,6.736
2022-01-03 09:00:00-03:00,0.139,0.016,0.146,6.884
2022-01-03 10:00:00-03:00,0.186,0.02,0.191,7.17
2022-01-03 11:00:00-03:00,0.246,0.029,0.248,7.896
2022-01-03 12:00:00-03:00,0.298,0.035,0.298,8.651
2022-01-03 13:00:00-03:00,0.337,0.03,0.34800000000000003,9.181
2022-01-03 14:00:00-03:00,0.256,0.017,0.272,9.397
2022-01-03 15:00:00-03:00,0.218,0.017,0.23,9.541
2022-01-03 16:00:00-03:00,0.213,0.023,0.22,9.745
2022-01-03 17:00:00-03:00,0.179,0.022,0.184,9.688
2022-01-03 18:00:00-03:00,0.156,0.027,0.154,9.511
2022-01-03 19:00:00-03:00,0.136,0.039,0.121,9.257
2022-01-03 20:00:00-03:00,0.10300000000000001,0.051000000000000004,0.075,8.699
2022-01-03 21:00:00-03:00,0.04,0.038,0.019,7.095
2022-01-03 22:00:00-03:00,0.0,0.0,0.0,5.254
2022-01-03 23:00:00-03:00,0.0,0.0,0.0,3.935
2022-01-04 00:00:00-03:00,0.0,0.0,0.0,2.8609999999999998
2022-01-04 01:00:00-03:00,0.0,0.0,0.0,2.025
2022-01-04 02:00:00-03:00,0.0,0.0,0.0,1.412
2022-01-04 03:00:00-03:00,0.0,0.0,0.0,1.116
2022-01-04 04:00:00-03:00,0.0,0.0,0.0,0.902
2022-01-04 05:00:00-03:00,0.008,0.014,0.004,0.727
2022-01-04 06:00:00-03:00,0.22,0.188,0.053,1.476
2022-01-04 07:00:00-03:00,0.429,0.36,0.109,3.3
2022-01-04 08:00:00-03:00,0.515,0.41200000000000003,0.162,4.906
2022-01-04 09:00:00-03:00,0.551,0.406,0.215,6.147
2022-01-04 10:00:00-03:00,0.617,0.453,0.255,7.427
2022-01-04 11:00:00-03:00,0.615,0.40900000000000003,0.302,8.582
