local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2021-12-31 21:00:00-03:00,0.015,0.012,0.015,7.225
2021-12-31 22:00:00-03:00,0.0,0.0,0.0,6.219
2021-12-31 23:00:00-03:00,0.0,0.0,0.0,5.8
2022-01-01 00:00:00-03:00,0.0,0.0,0.0,5.495
2022-01-01 01:00:00-03:00,0.0,0.0,0.0,5.281
2022-01-01 02:00:00-03:00,0.0,0.0,0.0,5.281
2022-01-01 03:00:00-03:00,0.0,0.0,0.0,5.433
2022-01-01 04:00:00-03:00,0.0,0.0,0.0,5.57
2022-01-01 05:00:00-03:00,0.0,0.001,0.002,5.561
2022-01-01 06:00:00-03:00,0.01,0.003,0.018000000000000002,5.636
2022-01-01 07:00:00-03:00,0.04,0.006,0.051000000000000004,6.287
2022-01-01 08:00:00-03:00,0.08,0.009000000000000001,0.091,7.676
2022-01-01 09:00:00-03:00,0.128,0.013000000000000001,0.139,9.671
2022-01-01 10:00:00-03:00,0.181,0.019,0.192,11.725999999999999
2022-01-01 11:00:00-03:00,0.234,0.026000000000000002,0.244,13.528
2022-01-01 12:00:00-03:00,0.227,0.017,0.247,14.11
2022-01-01 13:00:00-03:00,0.265,0.015,0.29,13.927
2022-01-01 14:00:00-03:00,0.25,0.017,0.271,13.628
2022-01-01 15:00:00-03:00,0.34400000000000003,0.067,0.328,13.899000000000001
2022-01-01 16:00:00-03:00,0.418,0.161,0.321,14.085
2022-01-01 17:00:00-03:00,0.41100000000000003,0.199,0.273,13.621
2022-01-01 18:00:00-03:00,0.255,0.091,0.201,12.415
2022-01-01 19:00:00-03:00,0.154,0.052000000000000005,0.129,11.125
2022-01-01 20:00:00-03:00,0.092,0.042,0.07200000000000001,9.682
2022-01-01 21:00:00-03:00,0.023,0.022,0.016,8.054
2022-01-01 22:00:00-03:00,0.0,0.0,0.0,6.472
2022-01-01 23:00:00-03:00,0.0,0.0,0.0,5.342
2022-01-02 00:00:00-03:00,0.0,0.0,0.0,4.532
2022-01-02 01:00:00-03:00,0.0,0.0,0.0,3.931
2022-01-02 02:00:00-03:00,0.0,0.0,0.0,3.497
2022-01-02 03:00:00-03:00,0.0,0.0,0.0,3.185
2022-01-02 04:00:00-03:00,0.0,0.0,0.0,2.941
2022-01-02 05:00:00-03:00,0.01,0.016,0.005,2.751
2022-01-02 06:00:00-03:00,0.109,0.079,0.05,3.211
2022-01-02 07:00:00-03:00,0.245,0.158,0.112,4.32
2022-01-02 08:00:00-03:00,0.383,0.251,0.171,5.636
2022-01-02 09:00:00-03:00,0.41100000000000003,0.23,0.226,6.73
2022-01-02 10:00:00-03:00,0.378,0.15,0.27,7.489
2022-01-02 11:00:00-03:00,0.42,0.157,0.314,8.156
2022-01-02 12:00:00-03:00,0.481,0.184,0.36,8.784
2022-01-02 13:00:00-03:00,0.5650000000000001,0.225,0.425,9.46
2022-01-02 14:00:00-03:00,0.625,0.365,0.365,10.222
2022-01-02 15:00:00-03:00,0.579,0.34600000000000003,0.326,10.403
2022-01-02 16:00:00-03:00,0.53,0.317,0.29,10.17
2022-01-02 17:00:00-03:00,0.444,0.253,0.249,9.636
2022-01-02 18:00:00-03:00,0.498,0.378,0.187,9.182
2022-01-02 19:00:00-03:00,0.445,0.367,0.133,8.367
2022-01-02 20:00:00-03:00,0.167,0.114,0.078,7.167
2022-01-02 21:00:00-03:00,0.026000000000000002,0.023,0.017,5.837
2022-01-02 22:00:00-03:00,0.0,0.0,0.0,4.861
2022-01-02 23:00:00-03:00,0.0,0.0,0.0,4.355
2022-01-03 00:00:00-03:00,0.0,0.0,0.0,4.002
2022-01-03 01:00:00-03:00,0.0,0.0,0.0,3.645
2022-01-03 02:00:00-03:00,0.0,0.0,0.0,3.14
2022-01-03 03:00:00-03:00,0.0,0.0,0.0,2.87
2022-01-03 04:00:00-03:00,0.0,0.0,0.0,2.563
2022-01-03 05:00:00-03:00,0.004,0.008,0.004,2.163
2022-01-03 06:00:00-03:00,0.125,0.09,0.055,3.67
2022-01-03 07:00:00-03:00,0.276,0.184,0.122,5.695
2022-01-03 08:00:00-03:00,0.218,0.079,0.167,7.734
2022-01-03 09:00:00-03:00,0.149,0.019,0.154,7.865
2022-01-03 10:00:00-03:00,0.188,0.021,0.193,7.914
2022-01-03 11:00:00-03:00,0.252,0.031,0.252,8.431
2022-01-03 12:00:00-03:00,0.32,0.044,0.315,9.038
2022-01-03 13:00:00-03:00,0.356,0.035,0.365,9.403
2022-01-03 14:00:00-03:00,0.259,0.018000000000000002,0.274,9.502
2022-01-03 15:00:00-03:00,0.222,0.019,0.234,9.694
2022-01-03 16:00:00-03:00,0.196,0.019,0.20600000000000002,9.96
2022-01-03 17:00:00-03:00,0.163,0.018000000000000002,0.171,10.0
2022-01-03 18:00:00-03:00,0.145,0.024,0.147,9.872
2022-01-03 19:00:00-03:00,0.12,0.031,0.112,9.57
2022-01-03 20:00:00-03:00,0.095,0.046,0.07100000000000001,9.025
2022-01-03 21:00:00-03:00,0.045,0.044,0.019,7.444
2022-01-03 22:00:00-03:00,0.0,0.0,0.0,5.433
2022-01-03 23:00:00-03:00,0.0,0.0,0.0,4.08
2022-01-04 00:00:00-03:00,0.0,0.0,0.0,3.07
2022-01-04 01:00:00-03:00,0.0,0.0,0.0,2.388
2022-01-04 02:00:00-03:00,0.0,0.0,0.0,1.767
2022-01-04 03:00:00-03:00,0.0,0.0,0.0,1.347
2022-01-04 04:00:00-03:00,0.0,0.0,0.0,1.149
