local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2018-12-31 21:00:00-03:00,0.013000000000000001,0.011,0.015,6.308
2018-12-31 22:00:00-03:00,0.0,0.0,0.0,5.585
2018-12-31 23:00:00-03:00,0.0,0.0,0.0,4.872
2019-01-01 00:00:00-03:00,0.0,0.0,0.0,4.222
2019-01-01 01:00:00-03:00,0.0,0.0,0.0,3.901
2019-01-01 02:00:00-03:00,0.0,0.0,0.0,3.684
2019-01-01 03:00:00-03:00,0.0,0.0,0.0,3.525
2019-01-01 04:00:00-03:00,0.0,0.0,0.0,3.482
2019-01-01 05:00:00-03:00,0.008,0.013000000000000001,0.005,3.54
2019-01-01 06:00:00-03:00,0.115,0.082,0.054,3.984
2019-01-01 07:00:00-03:00,0.254,0.163,0.117,4.898
2019-01-01 08:00:00-03:00,0.301,0.158,0.17500000000000002,5.994
2019-01-01 09:00:00-03:00,0.363,0.17300000000000001,0.23,7.153
2019-01-01 10:00:00-03:00,0.428,0.199,0.281,8.111
2019-01-01 11:00:00-03:00,0.425,0.158,0.32,8.735
2019-01-01 12:00:00-03:00,0.438,0.136,0.358,9.227
2019-01-01 13:00:00-03:00,0.54,0.182,0.437,9.75
2019-01-01 14:00:00-03:00,0.502,0.178,0.395,10.059
2019-01-01 15:00:00-03:00,0.425,0.14400000000000002,0.338,10.109
2019-01-01 16:00:00-03:00,0.394,0.148,0.297,10.077
2019-01-01 17:00:00-03:00,0.381,0.17500000000000002,0.255,9.993
2019-01-01 18:00:00-03:00,0.234,0.08,0.185,9.354
2019-01-01 19:00:00-03:00,0.167,0.065,0.128,8.712
2019-01-01 20:00:00-03:00,0.099,0.05,0.07100000000000001,7.958
2019-01-01 21:00:00-03:00,0.024,0.021,0.018000000000000002,6.687
2019-01-01 22:00:00-03:00,0.0,0.0,0.0,5.26
2019-01-01 23:00:00-03:00,0.0,0.0,0.0,4.853
2019-01-02 00:00:00-03:00,0.0,0.0,0.0,4.522
2019-01-02 01:00:00-03:00,0.0,0.0,0.0,4.081
2019-01-02 02:00:00-03:00,0.0,0.0,0.0,3.696
2019-01-02 03:00:00-03:00,0.0,0.0,0.0,3.348
2019-01-02 04:00:00-03:00,0.0,0.0,0.0,3.253
2019-01-02 05:00:00-03:00,0.004,0.008,0.004,3.163
2019-01-02 06:00:00-03:00,0.062,0.036000000000000004,0.044,3.6710000000000003
2019-01-02 07:00:00-03:00,0.167,0.083,0.107,4.707
2019-01-02 08:00:00-03:00,0.274,0.133,0.171,6.058
2019-01-02 09:00:00-03:00,0.372,0.184,0.23,7.452
2019-01-02 10:00:00-03:00,0.512,0.306,0.276,8.875
2019-01-02 11:00:00-03:00,0.512,0.265,0.32,9.792
2019-01-02 12:00:00-03:00,0.5660000000000001,0.297,0.357,10.321
2019-01-02 13:00:00-03:00,0.595,0.269,0.424,10.681000000000001
2019-01-02 14:00:00-03:00,0.599,0.322,0.378,11.303
2019-01-02 15:00:00-03:00,0.615,0.403,0.32,11.829
2019-01-02 16:00:00-03:00,0.506,0.28600000000000003,0.298,11.944
2019-01-02 17:00:00-03:00,0.34,0.137,0.249,11.597
2019-01-02 18:00:00-03:00,0.225,0.075,0.182,10.934
2019-01-02 19:00:00-03:00,0.093,0.021,0.095,9.826
2019-01-02 20:00:00-03:00,0.025,0.006,0.035,8.434
2019-01-02 21:00:00-03:00,0.001,0.001,0.006,7.078
2019-01-02 22:00:00-03:00,0.0,0.0,0.0,6.107
2019-01-02 23:00:00-03:00,0.0,0.0,0.0,5.497
2019-01-03 00:00:00-03:00,0.0,0.0,0.0,5.065
2019-01-03 01:00:00-03:00,0.0,0.0,0.0,4.707
2019-01-03 02:00:00-03:00,0.0,0.0,0.0,4.447
2019-01-03 03:00:00-03:00,0.0,0.0,0.0,4.6370000000000005
2019-01-03 04:00:00-03:00,0.0,0.0,0.0,5.209
2019-01-03 05:00:00-03:00,0.0,0.001,0.002,6.035
2019-01-03 06:00:00-03:00,0.017,0.005,0.025,7.134
2019-01-03 07:00:00-03:00,0.046,0.007,0.056,7.83
2019-01-03 08:00:00-03:00,0.092,0.011,0.10200000000000001,8.139
2019-01-03 09:00:00-03:00,0.155,0.02,0.16,8.754
2019-01-03 10:00:00-03:00,0.216,0.029,0.217,9.656
2019-01-03 11:00:00-03:00,0.245,0.028,0.25,10.387
2019-01-03 12:00:00-03:00,0.307,0.039,0.309,11.226
2019-01-03 13:00:00-03:00,0.396,0.05,0.402,12.213
2019-01-03 14:00:00-03:00,0.43,0.092,0.402,13.244
2019-01-03 15:00:00-03:00,0.274,0.034,0.28,13.169
2019-01-03 16:00:00-03:00,0.20600000000000002,0.022,0.217,12.589
2019-01-03 17:00:00-03:00,0.189,0.026000000000000002,0.194,11.978
2019-01-03 18:00:00-03:00,0.169,0.033,0.165,11.496
2019-01-03 19:00:00-03:00,0.081,0.013000000000000001,0.09,10.776
2019-01-03 20:00:00-03:00,0.032,0.007,0.041,10.057
2019-01-03 21:00:00-03:00,0.003,0.003,0.008,9.415
2019-01-03 22:00:00-03:00,0.0,0.0,0.0,8.993
2019-01-03 23:00:00-03:00,0.0,0.0,0.0,8.865
2019-01-04 00:00:00-03:00,0.0,0.0,0.0,8.864
2019-01-04 01:00:00-03:00,0.0,0.0,0.0,8.864
2019-01-04 02:00:00-03:00,0.0,0.0,0.0,8.722
2019-01-04 03:00:00-03:00,0.0,0.0,0.0,8.447
2019-01-04 04:00:00-03:00,0.0,0.0,0.0,8.227
2019-01-04 05:00:00-03:00,0.0,0.001,0.002,7.97
2019-01-04 06:00:00-03:00,0.027,0.012,0.03,7.954
2019-01-04 07:00:00-03:00,0.10200000000000001,0.037,0.08700000000000001,8.377
2019-01-04 08:00:00-03:00,0.336,0.203,0.17400000000000002,9.11
2019-01-04 09:00:00-03:00,0.482,0.323,0.224,9.62
2019-01-04 10:00:00-03:00,0.465,0.251,0.276,9.86
2019-01-04 11:00:00-03:00,0.533,0.299,0.314,10.412
2019-01-04 12:00:00-03:00,0.6940000000000001,0.522,0.307,11.342
2019-01-04 13:00:00-03:00,0.622,0.325,0.406,11.517
2019-01-04 14:00:00-03:00,0.743,0.605,0.296,11.931000000000001
2019-01-04 15:00:00-03:00,0.668,0.497,0.298,11.719
2019-01-04 16:00:00-03:00,0.677,0.55,0.255,11.399000000000001
2019-01-04 17:00:00-03:00,0.59,0.456,0.23,10.537
2019-01-04 18:00:00-03:00,0.216,0.068,0.176,8.914
2019-01-04 19:00:00-03:00,0.075,0.014,0.081,7.513
2019-01-04 20:00:00-03:00,0.027,0.006,0.035,6.437
2019-01-04 21:00:00-03:00,0.002,0.002,0.008,5.693
2019-01-04 22:00:00-03:00,0.0,0.0,0.0,5.248
2019-01-04 23:00:00-03:00,0.0,0.0,0.0,4.712
2019-01-05 00:00:00-03:00,0.0,0.0,0.0,4.249
2019-01-05 01:00:00-03:00,0.0,0.0,0.0,3.906
2019-01-05 02:00:00-03:00,0.0,0.0,0.0,3.688
2019-01-05 03:00:00-03:00,0.0,0.0,0.0,3.47
2019-01-05 04:00:00-03:00,0.0,0.0,0.0,3.278
2019-01-05 05:00:00-03:00,0.007,0.012,0.005,3.287
2019-01-05 06:00:00-03:00,0.078,0.047,0.05,4.333
2019-01-05 07:00:00-03:00,0.077,0.018000000000000002,0.078,5.739
2019-01-05 08:00:00-03:00,0.11,0.017,0.115,7.136
2019-01-05 09:00:00-03:00,0.148,0.018000000000000002,0.155,8.453
